"DateTime","Players","Average Players","Twitch Viewers"
"2014-11-18 00:00:00",5402,,
"2014-11-19 00:00:00",5209,,
"2014-11-20 00:00:00",5098,,
"2014-11-21 00:00:00",5588,,
"2014-11-22 00:00:00",6311,,
"2014-11-23 00:00:00",6354,,
"2014-11-24 00:00:00",5311,,
"2014-11-25 00:00:00",5158,,
"2014-11-26 00:00:00",5141,,
"2014-11-27 00:00:00",5225,,
"2014-11-28 00:00:00",6536,,
"2014-11-29 00:00:00",6979,,
"2014-11-30 00:00:00",6953,,
"2014-12-01 00:00:00",13689,,
"2014-12-02 00:00:00",5615,,
"2014-12-03 00:00:00",5412,,
"2014-12-04 00:00:00",5064,,
"2014-12-05 00:00:00",5286,,
"2014-12-06 00:00:00",6252,,
"2014-12-07 00:00:00",6192,,
"2014-12-08 00:00:00",5276,,
"2014-12-09 00:00:00",5133,,
"2014-12-10 00:00:00",4933,,
"2014-12-11 00:00:00",4680,,
"2014-12-12 00:00:00",13282,,
"2014-12-13 00:00:00",13723,,
"2014-12-14 00:00:00",13810,,
"2014-12-15 00:00:00",11871,,
"2014-12-16 00:00:00",11313,,
"2014-12-17 00:00:00",11235,,
"2014-12-18 00:00:00",10870,,
"2014-12-19 00:00:00",11637,,
"2014-12-20 00:00:00",12108,,
"2014-12-21 00:00:00",12490,,
"2014-12-22 00:00:00",11809,,
"2014-12-23 00:00:00",11326,,
"2014-12-24 00:00:00",9653,,
"2014-12-25 00:00:00",10117,,
"2014-12-26 00:00:00",10682,,
"2014-12-27 00:00:00",11336,,
"2014-12-28 00:00:00",11651,,
"2014-12-29 00:00:00",11250,,
"2014-12-30 00:00:00",11378,,
"2014-12-31 00:00:00",11593,,
"2015-01-01 00:00:00",12184,,
"2015-01-02 00:00:00",11865,,
"2015-01-03 00:00:00",12261,,
"2015-01-04 00:00:00",12104,,
"2015-01-05 00:00:00",10679,,
"2015-01-06 00:00:00",10145,,
"2015-01-07 00:00:00",10235,,
"2015-01-08 00:00:00",10436,,
"2015-01-09 00:00:00",11597,,
"2015-01-10 00:00:00",11967,,
"2015-01-11 00:00:00",12111,,
"2015-01-12 00:00:00",10102,,
"2015-01-13 00:00:00",9850,,
"2015-01-14 00:00:00",9093,,
"2015-01-15 00:00:00",9013,,
"2015-01-16 00:00:00",10293,,
"2015-01-17 00:00:00",10845,,
"2015-01-18 00:00:00",10789,,
"2015-01-19 00:00:00",9660,,
"2015-01-20 00:00:00",9183,,
"2015-01-21 00:00:00",8731,,
"2015-01-22 00:00:00",8636,,
"2015-01-23 00:00:00",9999,,
"2015-01-24 00:00:00",10358,,
"2015-01-25 00:00:00",10439,,
"2015-01-26 00:00:00",8863,,
"2015-01-27 00:00:00",8079,,
"2015-01-28 00:00:00",8237,,
"2015-01-29 00:00:00",7990,,
"2015-01-30 00:00:00",9417,,
"2015-01-31 00:00:00",10048,,
"2015-02-01 00:00:00",9982,,
"2015-02-02 00:00:00",8366,,
"2015-02-03 00:00:00",7948,,
"2015-02-04 00:00:00",7482,,
"2015-02-05 00:00:00",7482,,
"2015-02-06 00:00:00",7040,,
"2015-02-07 00:00:00",7040,,
"2015-02-08 00:00:00",7040,,
"2015-02-09 00:00:00",7040,,
"2015-02-10 00:00:00",6598,,
"2015-02-11 00:00:00",3538,,
"2015-02-12 00:00:00",3538,,
"2015-02-13 00:00:00",7714,,
